#objectKey messif.objects.keys.AbstractObjectKey 3203_96_2718_479
479;mcdr.objects.ObjectMocapPose
3.31181, 17.6446, 23.0652; 1.667327, 15.656103, 22.633865; 1.115551, 8.460235, 22.632235; 1.369332, 1.842645, 26.900415; 1.424888, 0.27421, 24.710815; 1.415735, 0.468781, 23.406883; 4.742429, 15.797846, 22.195845; 4.661808, 8.919402, 20.864782; 5.045684, 1.502869, 24.29141; 4.924562, 0.854371, 21.639868; 4.844259, 1.523373, 20.45937; 3.30579, 20.154072, 22.581089; 3.415608, 22.665115, 21.992718; 3.560969, 25.212797, 21.596386; 3.591233, 26.59251, 21.071337; 3.622082, 28.012238, 20.682789; 3.650508, 29.530668, 20.537394; -0.605246, 26.094791, 21.760485; -1.400507, 21.351074, 22.7193; -1.260709, 18.253082, 21.953333; -1.191457, 16.703217, 21.573763; -1.32707, 15.76442, 20.827375; -1.334679, 14.963831, 20.274261; -0.628072, 15.688983, 20.795258; 7.570313, 25.09474, 20.570477; 8.21688, 20.205189, 21.183132; 7.739141, 17.14232, 20.454824; 7.500494, 15.611031, 20.089891; 7.426534, 14.597388, 19.29846; 7.297184, 13.723229, 18.75288; 6.752337, 14.425594, 19.58149
3.27664, 17.6446, 23.1247; 1.632499, 15.655707, 22.693884; 1.123456, 8.457035, 22.764322; 1.370945, 1.799918, 26.97096; 1.442347, 0.265946, 24.757534; 1.4399, 0.473955, 23.45565; 4.708528, 15.795772, 22.261866; 4.65118, 8.927368, 20.878769; 5.042785, 1.501355, 24.283926; 4.927163, 0.848546, 21.633196; 4.847442, 1.518404, 20.453144; 3.268574, 20.153934, 22.639906; 3.382412, 22.664757, 22.051353; 3.539614, 25.211395, 21.652845; 3.578223, 26.588913, 21.122606; 3.613402, 28.008698, 20.73463; 3.643287, 29.527414, 20.592562; -0.626369, 26.10368, 21.755814; -1.450413, 21.352238, 22.649878; -1.28023, 18.266436, 21.841995; -1.195882, 16.722603, 21.441477; -1.310881, 15.794057, 20.678978; -1.302861, 15.001381, 20.11459; -0.611063, 15.721375, 20.661945; 7.562927, 25.081936, 20.68462; 8.2062, 20.19228, 21.299894; 7.735648, 17.133364, 20.550592; 7.500609, 15.604054, 20.175169; 7.437872, 14.594917, 19.37704; 7.315954, 13.724015, 18.824583; 6.758786, 14.422854, 19.647976
3.24064, 17.6472, 23.183; 1.596335, 15.658122, 22.753668; 1.126891, 8.457497, 22.878565; 1.373531, 1.760039, 27.020725; 1.455177, 0.261159, 24.78374; 1.456591, 0.486071, 23.484665; 4.672858, 15.79654, 22.324652; 4.640036, 8.937174, 20.896635; 5.039922, 1.50038, 24.277214; 4.931293, 0.842137, 21.627533; 4.852509, 1.512003, 20.447422; 3.230803, 20.156326, 22.69716; 3.34901, 22.66675, 22.107773; 3.518413, 25.212234, 21.706888; 3.563704, 26.587257, 21.170738; 3.602868, 28.007113, 20.783405; 3.634484, 29.526144, 20.645132; -0.646435, 26.114841, 21.74591; -1.495531, 21.355938, 22.574448; -1.296165, 18.2825, 21.727074; -1.197316, 16.744791, 21.306795; -1.291841, 15.826271, 20.529486; -1.268459, 15.041201, 19.954983; -0.591655, 15.75515, 20.528383; 7.555414, 25.071142, 20.799149; 8.188134, 20.18003, 21.413809; 7.729388, 17.124405, 20.644045; 7.500266, 15.596744, 20.258396; 7.451196, 14.591794, 19.45405; 7.338568, 13.723884, 18.89495; 6.767052, 14.41912, 19.711521
3.20329, 17.6539, 23.2397; 1.557913, 15.665279, 22.812359; 1.127504, 8.462987, 22.975777; 1.374807, 1.727404, 27.055609; 1.462465, 0.265831, 24.794294; 1.465877, 0.510498, 23.4988; 4.634775, 15.801023, 22.38492; 4.625085, 8.949661, 20.918646; 5.037137, 1.501179, 24.27192; 4.934174, 0.836968, 21.6235; 4.855493, 1.504194, 20.441889; 3.192715, 20.162842, 22.752926; 3.315387, 22.672806, 22.16249; 3.49605, 25.21708, 21.758848; 3.549567, 26.58943, 21.216642; 3.59236, 28.009275, 20.829659; 3.624424, 29.528606, 20.69482; -0.666945, 26.128765, 21.736773; -1.536886, 21.361916, 22.495024; -1.309754, 18.301125, 21.609713; -1.197107, 16.769684, 21.17045; -1.272221, 15.859711, 20.381062; -1.234319, 15.081116, 19.798576; -0.572059, 15.789741, 20.3951; 7.545231, 25.065374, 20.908916; 8.159521, 20.17159, 21.520985; 7.716822, 17.11848, 20.732077; 7.495734, 15.592082, 20.336857; 7.461772, 14.591099, 19.526806; 7.359705, 13.725933, 18.96146; 6.773048, 14.417033, 19.77077
3.16608, 17.6634, 23.2952; 1.52026, 15.674718, 22.869858; 1.125884, 8.47093, 23.056646; 1.377302, 1.698532, 27.074814; 1.465505, 0.27502, 24.78937; 1.467982, 0.550799, 23.500137; 4.597396, 15.808805, 22.443869; 4.610635, 8.964366, 20.945639; 5.034465, 1.502046, 24.266521; 4.938079, 0.83372, 21.61889; 4.859834, 1.500135, 20.436792; 3.154346, 20.172207, 22.807753; 3.281888, 22.681528, 22.215622; 3.47484, 25.224184, 21.80751; 3.536856, 26.593966, 21.259739; 3.582913, 28.013872, 20.873358; 3.61485, 29.5335, 20.74187; -0.685086, 26.146017, 21.721354; -1.578068, 21.372677, 22.408684; -1.32324, 18.3245, 21.488092; -1.196835, 16.79931, 21.031176; -1.25275, 15.897622, 20.230766; -1.200601, 15.125216, 19.641188; -0.553032, 15.828031, 20.260284; 7.535741, 25.060118, 21.017931; 8.132283, 20.163685, 21.626368; 7.704341, 17.113413, 20.818563; 7.490646, 15.588437, 20.4139; 7.473883, 14.591513, 19.598322; 7.383857, 13.72918, 19.026638; 6.78019, 14.416219, 19.82685
3.12794, 17.6721, 23.3503; 1.481398, 15.683607, 22.92687; 1.121815, 8.478276, 23.124046; 1.378565, 1.6726, 27.085247; 1.466407, 0.284256, 24.778257; 1.467688, 0.584899, 23.494593; 4.558667, 15.815978, 22.50131; 4.593617, 8.978057, 20.973953; 5.033059, 1.50192, 24.261564; 4.941274, 0.828681, 21.615017; 4.86249, 1.489884, 20.43003; 3.115387, 20.18058, 22.8612; 3.247912, 22.689064, 22.266619; 3.452952, 25.23014, 21.854574; 3.522519, 26.597244, 21.301052; 3.571931, 28.017235, 20.915388; 3.604247, 29.537167, 20.787567; -0.703031, 26.161297, 21.70314; -1.613252, 21.381575, 22.319872; -1.334603, 18.345705, 21.366116; -1.196363, 16.826624, 20.892578; -1.233652, 15.933177, 20.081907; -1.167774, 15.166853, 19.485802; -0.534772, 15.863339, 20.126732; 7.524908, 25.054565, 21.126823; 8.104495, 20.155666, 21.731783; 7.689682, 17.108807, 20.904491; 7.482567, 15.585538, 20.490091; 7.484763, 14.59256, 19.669546; 7.408257, 13.732903, 19.091894; 6.786504, 14.415339, 19.882141
3.08967, 17.6878, 23.4048; 1.443245, 15.698852, 22.983063; 1.117486, 8.491863, 23.178457; 1.381602, 1.656067, 27.086962; 1.464596, 0.296543, 24.762691; 1.462806, 0.620625, 23.484745; 4.520712, 15.830585, 22.558737; 4.575246, 8.998407, 21.00645; 5.033185, 1.508588, 24.26022; 4.942257, 0.830457, 21.61489; 4.86154, 1.483778, 20.425669; 3.075216, 20.195862, 22.913612; 3.212698, 22.703379, 22.316082; 3.430971, 25.242634, 21.899633; 3.509661, 26.607298, 21.341331; 3.562837, 28.02725, 20.956036; 3.595466, 29.547392, 20.8308; -0.719667, 26.18475, 21.683289; -1.646098, 21.399235, 22.226595; -1.344036, 18.375217, 21.24278; -1.194166, 16.862022, 20.754179; -1.21275, 15.976613, 19.9341; -1.133155, 15.216172, 19.33216; -0.515107, 15.90609, 19.994434; 7.512847, 25.053686, 21.233404; 8.074173, 20.152246, 21.834986; 7.671652, 17.108864, 20.98903; 7.4707, 15.587336, 20.565306; 7.493099, 14.597036, 19.741833; 7.431128, 13.739129, 19.159853; 6.790574, 14.417907, 19.938143
3.05016, 17.6954, 23.4625; 1.402565, 15.707258, 23.041523; 1.111758, 8.498467, 23.225218; 1.385352, 1.635878, 27.085823; 1.45995, 0.300703, 24.747198; 1.453645, 0.64589, 23.474804; 4.480449, 15.836266, 22.619383; 4.555442, 9.010801, 21.03868; 5.034252, 1.507634, 24.258514; 4.941321, 0.825193, 21.614363; 4.857635, 1.466231, 20.418682; 3.036459, 20.202887, 22.968357; 3.178481, 22.709291, 22.367239; 3.405909, 25.247072, 21.946718; 3.494972, 26.608644, 21.382463; 3.552337, 28.028278, 20.996586; 3.584953, 29.54858, 20.873323; -0.740135, 26.19439, 21.672678; -1.678427, 21.403618, 22.144634; -1.35804, 18.390688, 21.133; -1.199069, 16.883005, 20.630434; -1.198698, 16.005915, 19.801254; -1.105183, 15.251591, 19.193647; -0.502592, 15.934822, 19.876768; 7.495994, 25.050564, 21.335276; 8.038335, 20.146526, 21.933094; 7.646347, 17.106941, 21.068743; 7.450681, 15.587311, 20.635832; 7.495747, 14.599127, 19.810747; 7.450175, 13.742544, 19.225311; 6.788979, 14.417957, 19.989122
3.00967, 17.7028, 23.5206; 1.362997, 15.714125, 23.098541; 1.106097, 8.503601, 23.26384; 1.39012, 1.617797, 27.082127; 1.452784, 0.304512, 24.730791; 1.440382, 0.676012, 23.465876; 4.4415, 15.843266, 22.68099; 4.536413, 9.024524, 21.072586; 5.034997, 1.508381, 24.258986; 4.940941, 0.821381, 21.616055; 4.854684, 1.451715, 20.414879; 2.99619, 20.209541, 23.022684; 3.143982, 22.714624, 22.417465; 3.382637, 25.250801, 21.993498; 3.480896, 26.60961, 21.424128; 3.54266, 28.028873, 21.037573; 3.575725, 29.549273, 20.915632; -0.757147, 26.205965, 21.65878; -1.703603, 21.410473, 22.061369; -1.367094, 18.407469, 21.025738; -1.200115, 16.90473, 20.511105; -1.182392, 16.035559, 19.673815; -1.076361, 15.286879, 19.061304; -0.488281, 15.962515, 19.764334; 7.480476, 25.044199, 21.440058; 8.005294, 20.138138, 22.036907; 7.621537, 17.102734, 21.154358; 7.43001, 15.585192, 20.712364; 7.497474, 14.597974, 19.88765; 7.468087, 13.741946, 19.300371; 6.786754, 14.415425, 20.048033
2.96745, 17.7102, 23.5801; 1.321313, 15.721648, 23.155378; 1.101548, 8.509394, 23.297039; 1.394149, 1.604964, 27.080887; 1.446366, 0.3103, 24.718994; 1.428984, 0.699161, 23.459366; 4.400804, 15.849861, 22.744883; 4.515176, 9.03896, 21.104834; 5.035876, 1.510795, 24.259151; 4.939391, 0.818271, 21.617752; 4.849898, 1.437915, 20.41126; 2.955014, 20.21584, 23.07664; 3.108598, 22.719488, 22.466942; 3.35774, 25.25445, 22.041756; 3.466267, 26.61031, 21.467241; 3.532274, 28.028957, 21.079126; 3.565591, 29.549385, 20.957602; -0.775282, 26.216547, 21.648455; -1.725548, 21.416561, 21.982725; -1.37667, 18.422623, 20.92517; -1.203545, 16.924406, 20.399502; -1.168316, 16.063501, 19.554264; -1.049614, 15.320759, 18.936867; -0.476432, 15.988725, 19.659267; 7.46241, 25.039377, 21.545069; 7.968477, 20.13141, 22.142439; 7.593083, 17.100124, 21.242315; 7.405759, 15.58464, 20.79155; 7.495135, 14.597837, 19.968422; 7.481487, 13.742052, 19.380213; 6.780658, 14.414714, 20.11038
